Hydrocarbon,Ti (K),equivalent ratio,Pressure (atm),LBV (cm/s)
Alkane-air,300.0,0.6,1.0,10.32
Alkane-air,300.0,0.68,1.0,19.95
Alkane-air,300.0,0.69,1.0,21.168
Alkane-air,300.0,0.7,1.0,18.981
Alkane-air,300.0,0.71,1.0,23.58
Alkane-air,300.0,0.74,1.0,24.762
Alkane-air,300.0,0.75,1.0,26.347
Alkane-air,300.0,0.78,1.0,26.445
Alkane-air,300.0,0.79,1.0,28.297
Alkane-air,300.0,0.8,1.0,26.752
Alkane-air,300.0,0.82,1.0,31.64
Alkane-air,300.0,0.83,1.0,27.87
Alkane-air,300.0,0.84,1.0,34.32
Alkane-air,300.0,0.85,1.0,33.61
Alkane-air,300.0,0.87,1.0,33.24
Alkane-air,300.0,0.88,1.0,33.16
Alkane-air,300.0,0.89,1.0,34.935
Alkane-air,300.0,0.9,1.0,32.27
Alkane-air,300.0,0.92,1.0,32.53
Alkane-air,300.0,0.95,1.0,38.52
Alkane-air,300.0,0.96,1.0,38.06
Alkane-air,300.0,0.97,1.0,36.987
Alkane-air,300.0,0.98,1.0,37.74
Alkane-air,300.0,0.99,1.0,36.81
Alkane-air,300.0,1.0,1.0,35.818
Alkane-air,300.0,1.02,1.0,37.588
Alkane-air,300.0,1.05,1.0,40.48
Alkane-air,300.0,1.06,1.0,38.285
Alkane-air,300.0,1.07,1.0,38.136
Alkane-air,300.0,1.08,1.0,41.75
Alkane-air,300.0,1.09,1.0,38.62
Alkane-air,300.0,1.1,1.0,36.42
Alkane-air,300.0,1.11,1.0,36.073
Alkane-air,300.0,1.15,1.0,39.098
Alkane-air,300.0,1.16,1.0,35.632
Alkane-air,300.0,1.19,1.0,36.81
Alkane-air,300.0,1.2,1.0,33.611
Alkane-air,300.0,1.21,1.0,34.63
Alkane-air,300.0,1.23,1.0,34.12
Alkane-air,300.0,1.24,1.0,34.39
Alkane-air,300.0,1.25,1.0,31.863
Alkane-air,300.0,1.26,1.0,31.16
Alkane-air,300.0,1.29,1.0,31.33
Alkane-air,300.0,1.3,1.0,26.746
Alkane-air,300.0,1.35,1.0,20.3
Alkane-air,300.0,1.4,1.0,14.92
Alkane-air,360.0,0.7,1.0,42.2
Alkane-air,360.0,0.8,1.0,44.775
Alkane-air,360.0,1.0,1.0,47.35
Alkane-air,369.0,0.7,1.0,40.5
Alkane-air,369.0,1.0,1.0,48.7
Alkane-air,370.0,0.6,1.0,18.64
Alkane-air,370.0,0.7,1.0,29.739
Alkane-air,370.0,0.79,1.0,42.66
Alkane-air,370.0,0.8,1.0,39.307
Alkane-air,370.0,0.88,1.0,50.223
Alkane-air,370.0,0.9,1.0,46.387
Alkane-air,370.0,0.97,1.0,60.93
Alkane-air,370.0,0.98,1.0,55.89
Alkane-air,370.0,1.0,1.0,51.822
Alkane-air,370.0,1.07,1.0,58.033
Alkane-air,370.0,1.1,1.0,52.622
Alkane-air,370.0,1.16,1.0,56.694
Alkane-air,370.0,1.2,1.0,48.225
Alkane-air,370.0,1.25,1.0,48.885
Alkane-air,370.0,1.3,1.0,39.218
Alkane-air,370.0,1.4,1.0,17.93
Alkane-air,372.0,1.0,1.0,57.65
Alkane-air,375.0,0.7,1.0,42.4
Alkane-air,375.0,1.0,1.0,61.0
Alkane-air,378.0,1.0,1.0,56.8
Alkane-air,381.0,1.0,1.0,50.5
Alkane-air,387.0,1.0,1.0,57.4
Alkane-air,390.0,0.7,1.0,47.3
Alkane-air,390.0,0.8,1.0,55.767
Alkane-air,390.0,1.0,1.0,54.575
Alkane-air,393.0,1.0,1.0,56.9
Alkane-air,399.0,0.7,1.0,45.9
Alkane-air,399.0,0.8,1.0,40.8
Alkane-air,399.0,1.0,1.0,63.7
Alkane-air,402.0,0.7,1.0,44.95
Alkane-air,402.0,1.0,1.0,54.3
Alkane-air,405.0,0.7,1.0,45.15
Alkane-air,405.0,1.0,1.0,63.0
Alkane-air,408.0,1.0,1.0,63.7
Alkane-air,411.0,1.0,1.0,70.2
Alkane-air,414.0,1.0,1.0,65.9
Alkane-air,417.0,1.0,1.0,67.9
Alkane-air,420.0,0.5,1.0,25.25
Alkane-air,420.0,0.61,1.0,46.14
Alkane-air,420.0,0.7,1.0,46.975
Alkane-air,420.0,0.72,1.0,65.06
Alkane-air,420.0,0.8,1.0,63.133
Alkane-air,420.0,0.83,1.0,74.544
Alkane-air,420.0,0.94,1.0,81.887
Alkane-air,420.0,0.95,1.0,61.75
Alkane-air,420.0,1.0,1.0,61.845
Alkane-air,420.0,1.05,1.0,81.881
Alkane-air,420.0,1.16,1.0,76.142
Alkane-air,420.0,1.17,1.0,60.675
Alkane-air,420.0,1.27,1.0,73.375
Alkane-air,420.0,1.28,1.0,60.71
Alkane-air,420.0,1.39,1.0,33.67
Alkane-air,423.0,0.7,1.0,42.31
Alkane-air,423.0,0.79,1.0,53.29
Alkane-air,423.0,0.8,1.0,59.9
Alkane-air,423.0,0.88,1.0,63.81
Alkane-air,423.0,0.98,1.0,74.73
Alkane-air,423.0,1.0,1.0,59.0
Alkane-air,423.0,1.07,1.0,76.5
Alkane-air,423.0,1.1,1.0,77.6
